file,class,method,variable,usage
C:\Users\chait\Desktop\Group Assignment 2\aws-cf-templates-master-300\aws-cf-templates-master\test\src\test\java\de\widdix\awscftemplates\vpc\TestVPCSshBastion.java,de.widdix.awscftemplates.vpc.TestVPCSshBastion,test/0,classB,1
C:\Users\chait\Desktop\Group Assignment 2\aws-cf-templates-master-300\aws-cf-templates-master\test\src\test\java\de\widdix\awscftemplates\vpc\TestVPCSshBastion.java,de.widdix.awscftemplates.vpc.TestVPCSshBastion,test/0,bastionStackName,3
C:\Users\chait\Desktop\Group Assignment 2\aws-cf-templates-master-300\aws-cf-templates-master\test\src\test\java\de\widdix\awscftemplates\vpc\TestVPCSshBastion.java,de.widdix.awscftemplates.vpc.TestVPCSshBastion,test/0,context,6
C:\Users\chait\Desktop\Group Assignment 2\aws-cf-templates-master-300\aws-cf-templates-master\test\src\test\java\de\widdix\awscftemplates\vpc\TestVPCSshBastion.java,de.widdix.awscftemplates.vpc.TestVPCSshBastion,test/0,keyName,3
C:\Users\chait\Desktop\Group Assignment 2\aws-cf-templates-master-300\aws-cf-templates-master\test\src\test\java\de\widdix\awscftemplates\vpc\TestVPCSshBastion.java,de.widdix.awscftemplates.vpc.TestVPCSshBastion,test/0,host,1
C:\Users\chait\Desktop\Group Assignment 2\aws-cf-templates-master-300\aws-cf-templates-master\test\src\test\java\de\widdix\awscftemplates\vpc\TestVPCSshBastion.java,de.widdix.awscftemplates.vpc.TestVPCSshBastion,test/0,vpcStackName,3
C:\Users\chait\Desktop\Group Assignment 2\aws-cf-templates-master-300\aws-cf-templates-master\test\src\test\java\de\widdix\awscftemplates\vpc\TestVPCSshBastion.java,de.widdix.awscftemplates.vpc.TestVPCSshBastion,test/0,key,1
C:\Users\chait\Desktop\Group Assignment 2\aws-cf-templates-master-300\aws-cf-templates-master\test\src\test\java\de\widdix\awscftemplates\state\TestElastiCacheMemcached.java,de.widdix.awscftemplates.state.TestElastiCacheMemcached,testVersion/1[java.lang.String],clientStackName,3
C:\Users\chait\Desktop\Group Assignment 2\aws-cf-templates-master-300\aws-cf-templates-master\test\src\test\java\de\widdix\awscftemplates\state\TestElastiCacheMemcached.java,de.widdix.awscftemplates.state.TestElastiCacheMemcached,testVersion/1[java.lang.String],context,6
C:\Users\chait\Desktop\Group Assignment 2\aws-cf-templates-master-300\aws-cf-templates-master\test\src\test\java\de\widdix\awscftemplates\state\TestElastiCacheMemcached.java,de.widdix.awscftemplates.state.TestElastiCacheMemcached,testVersion/1[java.lang.String],stackName,2
C:\Users\chait\Desktop\Group Assignment 2\aws-cf-templates-master-300\aws-cf-templates-master\test\src\test\java\de\widdix\awscftemplates\state\TestElastiCacheMemcached.java,de.widdix.awscftemplates.state.TestElastiCacheMemcached,testVersion/1[java.lang.String],version,1
C:\Users\chait\Desktop\Group Assignment 2\aws-cf-templates-master-300\aws-cf-templates-master\test\src\test\java\de\widdix\awscftemplates\state\TestElastiCacheMemcached.java,de.widdix.awscftemplates.state.TestElastiCacheMemcached,testVersion/1[java.lang.String],vpcStackName,4
C:\Users\chait\Desktop\Group Assignment 2\aws-cf-templates-master-300\aws-cf-templates-master\test\src\test\java\de\widdix\awscftemplates\state\TestRDSMySQL.java,de.widdix.awscftemplates.state.TestRDSMySQL,testWithSecret/0,clientStackName,3
