file,class,method,variable,usage
C:\Users\chait\Desktop\Group Assignment 2\react-native-svg-main-158\react-native-svg-main\android\src\main\java\com\horcrux\svg\VirtualView.java,com.horcrux.svg.VirtualView,relativeOnHeight/1[com.horcrux.svg.SVGLength],mScale,1
C:\Users\chait\Desktop\Group Assignment 2\react-native-svg-main-158\react-native-svg-main\android\src\main\java\com\horcrux\svg\VirtualView.java,com.horcrux.svg.VirtualView,setMatrix/1[com.horcrux.svg.ReadableArray],mInvertible,2
C:\Users\chait\Desktop\Group Assignment 2\react-native-svg-main-158\react-native-svg-main\android\src\main\java\com\horcrux\svg\VirtualView.java,com.horcrux.svg.VirtualView,setMatrix/1[com.horcrux.svg.ReadableArray],sRawMatrix,2
C:\Users\chait\Desktop\Group Assignment 2\react-native-svg-main-158\react-native-svg-main\android\src\main\java\com\horcrux\svg\VirtualView.java,com.horcrux.svg.VirtualView,setMatrix/1[com.horcrux.svg.ReadableArray],mMatrix,5
C:\Users\chait\Desktop\Group Assignment 2\react-native-svg-main-158\react-native-svg-main\android\src\main\java\com\horcrux\svg\VirtualView.java,com.horcrux.svg.VirtualView,setMatrix/1[com.horcrux.svg.ReadableArray],mScale,1
C:\Users\chait\Desktop\Group Assignment 2\react-native-svg-main-158\react-native-svg-main\android\src\main\java\com\horcrux\svg\VirtualView.java,com.horcrux.svg.VirtualView,setMatrix/1[com.horcrux.svg.ReadableArray],mInvMatrix,3
C:\Users\chait\Desktop\Group Assignment 2\react-native-svg-main-158\react-native-svg-main\android\src\main\java\com\horcrux\svg\VirtualView.java,com.horcrux.svg.VirtualView,setClipPath/1[java.lang.String],mClipPath,1
C:\Users\chait\Desktop\Group Assignment 2\react-native-svg-main-158\react-native-svg-main\android\src\main\java\com\horcrux\svg\VirtualView.java,com.horcrux.svg.VirtualView,setClipPath/1[java.lang.String],mCachedClipPath,1
C:\Users\chait\Desktop\Group Assignment 2\react-native-svg-main-158\react-native-svg-main\android\src\main\java\com\horcrux\svg\VirtualView.java,com.horcrux.svg.VirtualView,setMarkerMid/1[java.lang.String],mMarkerMid,1
C:\Users\chait\Desktop\Group Assignment 2\react-native-svg-main-158\react-native-svg-main\android\src\main\java\com\horcrux\svg\VirtualView.java,com.horcrux.svg.VirtualView,setDisplay/1[java.lang.String],mDisplay,1
C:\Users\chait\Desktop\Group Assignment 2\react-native-svg-main-158\react-native-svg-main\android\src\main\java\com\horcrux\svg\VirtualView.java,com.horcrux.svg.VirtualView,getClientRect/0,mClientRect,1
C:\Users\chait\Desktop\Group Assignment 2\react-native-svg-main-158\react-native-svg-main\android\src\main\java\com\horcrux\svg\VirtualView.java,com.horcrux.svg.VirtualView,"onLayout/5[boolean,int,int,int,int]",mClientRect,3
C:\Users\chait\Desktop\Group Assignment 2\react-native-svg-main-158\react-native-svg-main\android\src\main\java\com\horcrux\svg\VirtualView.java,com.horcrux.svg.VirtualView,getSvgView/0,svgView,5
C:\Users\chait\Desktop\Group Assignment 2\react-native-svg-main-158\react-native-svg-main\android\src\main\java\com\horcrux\svg\VirtualView.java,com.horcrux.svg.VirtualView,getClipPath/0,mCachedClipPath,1
C:\Users\chait\Desktop\Group Assignment 2\react-native-svg-main-158\react-native-svg-main\android\src\main\java\com\horcrux\svg\VirtualView.java,com.horcrux.svg.VirtualView,relativeOnOther/1[com.horcrux.svg.SVGLength],mScale,1
C:\Users\chait\Desktop\Group Assignment 2\react-native-svg-main-158\react-native-svg-main\android\src\main\java\com\horcrux\svg\VirtualView.java,com.horcrux.svg.VirtualView,getCanvasHeight/0,canvasHeight,5
C:\Users\chait\Desktop\Group Assignment 2\react-native-svg-main-158\react-native-svg-main\android\src\main\java\com\horcrux\svg\VirtualView.java,com.horcrux.svg.VirtualView,setMarkerEnd/1[java.lang.String],mMarkerEnd,1
C:\Users\chait\Desktop\Group Assignment 2\react-native-svg-main-158\react-native-svg-main\android\src\main\java\com\horcrux\svg\VirtualView.java,com.horcrux.svg.VirtualView,getCanvasDiagonal/0,M_SQRT1_2l,1
C:\Users\chait\Desktop\Group Assignment 2\react-native-svg-main-158\react-native-svg-main\android\src\main\java\com\horcrux\svg\VirtualView.java,com.horcrux.svg.VirtualView,getCanvasDiagonal/0,canvasDiagonal,4
C:\Users\chait\Desktop\Group Assignment 2\react-native-svg-main-158\react-native-svg-main\android\src\main\java\com\horcrux\svg\VirtualView.java,com.horcrux.svg.VirtualView,clearCache/0,canvasDiagonal,1
C:\Users\chait\Desktop\Group Assignment 2\react-native-svg-main-158\react-native-svg-main\android\src\main\java\com\horcrux\svg\VirtualView.java,com.horcrux.svg.VirtualView,clearCache/0,canvasWidth,1
