file,class,method,variable,usage
C:\Users\chait\Desktop\Group Assignment 2\react-native-svg-main-158\react-native-svg-main\android\src\paper\java\com\facebook\react\viewmanagers\RNSVGLineManagerDelegate.java,com.facebook.react.viewmanagers.RNSVGLineManagerDelegate,"setProperty/3[T,java.lang.String,java.lang.Object]",view,40
C:\Users\chait\Desktop\Group Assignment 2\react-native-svg-main-158\react-native-svg-main\android\src\paper\java\com\facebook\react\viewmanagers\RNSVGLineManagerDelegate.java,com.facebook.react.viewmanagers.RNSVGLineManagerDelegate,"setProperty/3[T,java.lang.String,java.lang.Object]",propName,2
C:\Users\chait\Desktop\Group Assignment 2\react-native-svg-main-158\react-native-svg-main\android\src\paper\java\com\facebook\react\viewmanagers\RNSVGLineManagerDelegate.java,com.facebook.react.viewmanagers.RNSVGLineManagerDelegate,"setProperty/3[T,java.lang.String,java.lang.Object]",value,64
C:\Users\chait\Desktop\Group Assignment 2\react-native-svg-main-158\react-native-svg-main\android\src\paper\java\com\facebook\react\viewmanagers\RNSVGLineManagerDelegate.java,com.facebook.react.viewmanagers.RNSVGLineManagerDelegate,RNSVGLineManagerDelegate/1[U],viewManager,1
C:\Users\chait\Desktop\Group Assignment 2\react-native-svg-main-158\react-native-svg-main\android\src\main\java\com\horcrux\svg\RenderableViewManager.java,com.horcrux.svg.RenderableViewManager$GroupViewManagerAbstract,"setFontSize/2[U,com.horcrux.svg.Dynamic]",node,1
C:\Users\chait\Desktop\Group Assignment 2\react-native-svg-main-158\react-native-svg-main\android\src\main\java\com\horcrux\svg\RenderableViewManager.java,com.horcrux.svg.RenderableViewManager$GroupViewManagerAbstract,"setFontSize/2[U,com.horcrux.svg.Dynamic]",fontSize,3
C:\Users\chait\Desktop\Group Assignment 2\react-native-svg-main-158\react-native-svg-main\android\src\main\java\com\horcrux\svg\RenderableViewManager.java,com.horcrux.svg.RenderableViewManager$GroupViewManagerAbstract,"setFontSize/2[U,com.horcrux.svg.Dynamic]",map,3
C:\Users\chait\Desktop\Group Assignment 2\react-native-svg-main-158\react-native-svg-main\android\src\main\java\com\horcrux\svg\RenderableViewManager.java,com.horcrux.svg.RenderableViewManager$GroupViewManagerAbstract,"setFontSize/2[U,java.lang.String]",view,1
C:\Users\chait\Desktop\Group Assignment 2\react-native-svg-main-158\react-native-svg-main\android\src\main\java\com\horcrux\svg\RenderableViewManager.java,com.horcrux.svg.RenderableViewManager$GroupViewManagerAbstract,"setFontSize/2[U,java.lang.String]",value,1
C:\Users\chait\Desktop\Group Assignment 2\react-native-svg-main-158\react-native-svg-main\android\src\main\java\com\horcrux\svg\RenderableViewManager.java,com.horcrux.svg.RenderableViewManager$GroupViewManagerAbstract,"setFontSize/2[U,java.lang.String]",map,2
