file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\chait\Desktop\Group Assignment 2\turms-develop-503\turms-server-common\src\test\java\unit\im\turms\server\common\infra\plugin\MyExtensionPointForJs.java,unit.im.turms.server.common.infra.plugin.MyExtensionPointForJs,interface,4,5,1,4,6,1,0,0,15,0.0,0.0,0.0,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0
C:\Users\chait\Desktop\Group Assignment 2\turms-develop-503\turms-server-common\src\main\java\im\turms\server\common\infra\security\MacUtil.java,im.turms.server.common.infra.security.MacUtil,class,2,2,0,2,3,1,0,3,1,0.0,NaN,NaN,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,14,1,0,0,1,0,0,0,1,0,1,1,0,0,0,17,17,0
C:\Users\chait\Desktop\Group Assignment 2\turms-develop-503\turms-client-kotlin\src\main\java\im\turms\client\model\proto\request\message\UpdateMessageRequestOrBuilder.java,im.turms.client.model.proto.request.message.UpdateMessageRequestOrBuilder,interface,2,4,2,2,9,1,0,0,36,0.0,0.0,0.0,9,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,1,0
C:\Users\chait\Desktop\Group Assignment 2\turms-develop-503\turms-client-kotlin\src\main\java\im\turms\client\model\proto\request\user\relationship\CreateRelationshipGroupRequest.java,im.turms.client.model.proto.request.user.relationship.CreateRelationshipGroupRequest,class,10,14,4,10,33,1,0,12,217,0.8804348,0.63684213,0.63684213,23,16,18,4,1,0,20,0,1,0,4,3,1,3,0,0,2,0,3,150,25,0,2,0,0,5,2,14,0,9,4,0,1,0,67,17,0
C:\Users\chait\Desktop\Group Assignment 2\turms-develop-503\turms-server-common\src\main\java\im\turms\server\common\access\client\dto\constant\GroupMemberRole.java,im.turms.server.common.access.client.dto.constant.GroupMemberRole,enum,5,15,10,5,13,1,0,11,32,0.9305555,0.25,0.41666666,9,5,8,0,0,1,9,0,4,0,8,7,5,3,0,0,8,0,6,54,9,0,4,0,0,3,13,8,0,9,1,0,0,1,59,1,0
C:\Users\chait\Desktop\Group Assignment 2\turms-develop-503\turms-client-kotlin\src\main\java\im\turms\client\model\proto\model\user\UserRelationshipsWithVersion.java,im.turms.client.model.proto.model.user.UserRelationshipsWithVersion,class,12,16,4,12,46,1,0,17,377,0.8865546,0.4,0.4,34,16,23,10,1,0,25,0,1,0,7,4,2,5,0,0,3,0,2,246,30,0,3,0,2,7,8,18,1,12,4,0,1,0,90,17,0
C:\Users\chait\Desktop\Group Assignment 2\turms-develop-503\turms-server-common\src\main\java\im\turms\server\common\access\client\dto\request\group\enrollment\DeleteGroupJoinQuestionsRequestOuterClass.java,im.turms.server.common.access.client.dto.request.group.enrollment.DeleteGroupJoinQuestionsRequestOuterClass,class,7,8,1,7,5,1,0,5,4,0.5833333,0.0,0.0,4,3,3,1,0,0,4,0,0,0,3,3,0,1,0,2,2,0,2,21,1,0,0,0,0,9,1,4,1,4,0,0,0,0,26,17,0
C:\Users\chait\Desktop\Group Assignment 2\turms-develop-503\turms-client-kotlin\src\main\java\im\turms\client\model\proto\model\group\GroupMember.java,im.turms.client.model.proto.model.group.GroupMember$Builder,innerclass,7,7,0,7,47,1,0,48,1081,0.0,0.0,0.0,47,0,46,1,0,0,46,0,0,0,0,0,0,0,0,0,0,0,1,191,46,0,0,0,0,0,0,0,0,0,0,0,0,0,82,25,0
C:\Users\chait\Desktop\Group Assignment 2\turms-develop-503\turms-server-common\src\main\java\im\turms\server\common\infra\json\JsonUtil.java,im.turms.server.common.infra.json.JsonUtil,class,15,16,1,15,38,1,0,27,47,0.82222223,0.7777778,0.7777778,15,12,9,6,0,0,9,0,0,0,6,6,0,6,0,0,6,0,10,154,15,5,2,7,0,7,10,33,1,21,3,2,0,1,85,17,1
C:\Users\chait\Desktop\Group Assignment 2\turms-develop-503\turms-gateway\src\main\java\im\turms\gateway\access\client\websocket\WebSocketUserSessionAssembler.java,im.turms.gateway.access.client.websocket.WebSocketUserSessionAssembler,class,18,19,1,18,3,2,0,17,1,0.5,0.0,0.0,2,0,1,0,1,0,2,0,0,0,2,1,0,2,0,0,2,0,1,24,2,0,0,0,0,1,0,5,0,5,2,0,0,1,39,1,1
